"","HINS1","HINS2","HICOV","SCHL","ENG","English","Education","Work_Insurance","Private_Insurance","Health_Insurance_Covered"
"18044",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18045",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"18046",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"18047",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18048",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18049",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"18050",0,0,0,22,1,"Very Well","Master's degree","No","No","No"
"18051",0,1,1,20,1,"Very Well","Associate's degree","No","Yes","Yes"
"18052",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"18053",1,1,1,16,1,"Very Well","Regular high school diploma","Yes","Yes","Yes"
"18054",0,0,1,18,2,"Well","Some college, but less than 1 year","No","No","Yes"
"18055",0,0,1,21,2,"Well","Bachelor's degree","No","No","Yes"
"18056",0,0,0,1,3,"Not Well","No Schooling Completed","No","No","No"
"18057",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"18058",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18059",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"18060",1,0,1,3,1,"Very Well","Kindergarten","Yes","No","Yes"
"18061",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"18062",0,0,0,13,1,"Very Well","Grade 10","No","No","No"
"18063",0,0,1,16,1,"Very Well","Regular high school diploma","No","No","Yes"
"18064",0,0,1,14,1,"Very Well","Grade 11","No","No","Yes"
"18065",0,0,1,1,4,"Not at all","No Schooling Completed","No","No","Yes"
"18066",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18067",1,0,1,18,1,"Very Well","Some college, but less than 1 year","Yes","No","Yes"
"18068",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"18069",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"18070",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18071",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"18072",1,0,1,5,1,"Very Well","Grade 2","Yes","No","Yes"
"18073",0,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","No","Yes","Yes"
"18074",0,1,1,16,3,"Not Well","Regular high school diploma","No","Yes","Yes"
"18075",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"18076",1,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","Yes","Yes"
"18077",1,0,1,6,3,"Not Well","Grade 3","Yes","No","Yes"
"18078",0,1,1,19,1,"Very Well","1 or more years of college credit, no degree","No","Yes","Yes"
